title,sell_price,orig_price,rating,num_ratings
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹7,950","₹21,999",3.9,"20,023 Ratings & 2,988 Reviews"
"SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with FluroSENS Panel, Dol...","₹30,999","₹56,790",4.2,"2,321 Ratings & 376 Reviews"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹13,490","₹21,990",4.4,"60,269 Ratings & 5,209 Reviews"
iFFALCON by TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel-Less design & 24W Speaker,"₹8,999","₹19,990",4.2,"15,396 Ratings & 2,206 Reviews"
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with 1.5 GB RAM and Dolby Audio ...,"₹14,999","₹24,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with Bezel Less & Extra Brightness,"₹11,990","₹20,990",4.1,"1,542 Ratings & 165 Reviews"
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV 2022 Edition with Wall Mount,"₹8,699","₹16,999",4.2,"32,827 Ratings & 3,940 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹6,899","₹16,999",3.9,"20,023 Ratings & 2,988 Reviews"
realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹11,999","₹17,999",4.3,"2,12,435 Ratings & 23,181 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999","₹24,999",4.3,"86,684 Ratings & 7,370 Reviews"
"Sansui 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision and Dolby Atmos, Black","₹37,499","₹59,990",4.2,352 Ratings & 56 Reviews
"SENS Dwinci 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV LumiSENS Panel, Dolby Vision and Dolby...","₹47,999","₹70,290",4.4,339 Ratings & 69 Reviews
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV 2022 Edition with Bezel-free Design,"₹13,990","₹18,900",4.4,"99,285 Ratings & 8,229 Reviews"
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV 2022 Edition with Android 11 and Bezel-Less ...,"₹24,999","₹31,999",4.3,"77,891 Ratings & 7,196 Reviews"
iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Bezel-Less Design and Dolb...,"₹19,999","₹49,990",4.2,"15,396 Ratings & 2,206 Reviews"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2022 Edition with Alpha5 Gen5 AI Processor | (Ceramic B...,"₹15,990","₹23,990",4.4,"2,752 Ratings & 341 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,449","₹15,000",4.1,"1,905 Ratings & 235 Reviews"
BeethoSOL 80 cm (32 inch) HD Ready LED TV,"₹6,999","₹17,000",4.2,"1,142 Ratings & 140 Reviews"
SAMSUNG Crystal 4K iSmart Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with B...,"₹30,990","₹52,900",4.3,"14,965 Ratings & 1,502 Reviews"
OnePlus Y1S 101 cm (40 inch) Full HD LED Smart Android TV 2023 Edition with Android 11 and Bezel-Less ...,"₹21,999","₹29,999",4.3,"96,487 Ratings & 8,400 Reviews"
"SENS Dwinci 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV LumiSENS Panel, Dolby Vision and Dolby...","₹35,999","₹59,990",4.4,339 Ratings & 69 Reviews
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,650","₹12,999",3.9,"20,023 Ratings & 2,988 Reviews"
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹21,999","₹29,999",4.3,"86,684 Ratings & 7,370 Reviews"
TCL 43P635 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with Bezel-Less Design and ...,"₹24,990","₹52,990",4.1,"1,542 Ratings & 165 Reviews"
,,,,
,,,,
SAMSUNG Crystal Vision 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with Voice Assis...,"₹33,990","₹54,900",4.4,"24,680 Ratings & 2,520 Reviews"
realme 80 cm (32 inch) Full HD LED Smart Android TV,"₹13,999","₹23,999",4.2,"11,295 Ratings & 1,475 Reviews"
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with Bezel-less Design and Dolby...,"₹24,999","₹35,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision and 30W ...,"₹28,999","₹42,999",4.3,"82,684 Ratings & 8,208 Reviews"
"Compaq 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with 2GB RAM,Dolby Audio,WCG+,...","₹17,999","₹35,999",4.2,"2,947 Ratings & 485 Reviews"
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,"₹5,999","₹14,999",4.2,"3,591 Ratings & 421 Reviews"
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition,"₹22,999","₹29,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹7,950","₹21,999",3.9,"20,023 Ratings & 2,988 Reviews"
"Acer I Series 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with Android 11, 30W Do...","₹26,999","₹40,990",4.3,"17,487 Ratings & 2,520 Reviews"
LG UR7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition,"₹31,990","₹49,990",4.4,"16,903 Ratings & 1,931 Reviews"
"Acer I Series 80 cm (32 inch) HD Ready LED Smart Android TV 2022 Edition with Android 11, 1.5GB RAM (2...","₹10,999","₹19,990",4.3,"17,487 Ratings & 2,520 Reviews"
Thomson 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision & Dolby Atmo...,"₹27,999","₹41,999",4.5,"33,535 Ratings & 8,390 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,749","₹10,999",4.1,"4,721 Ratings & 517 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹6,899","₹16,999",3.9,"20,023 Ratings & 2,988 Reviews"
Infinix X3IN 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition,"₹9,999","₹18,999",4.1,"5,942 Ratings & 882 Reviews"
Thomson Alpha 60 cm (24 Inch) HD Ready LED Smart Linux TV 2023 Edition with 20 W Sound Output,"₹6,666","₹9,999",4.4,"21,219 Ratings & 3,424 Reviews"
"SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with FluroSENS Panel, Dol...","₹30,999","₹56,790",4.2,"2,321 Ratings & 376 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,449","₹15,000",4.1,"1,905 Ratings & 235 Reviews"
iFFALCON by TCL U62 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Bezel-Less Design and Dolb...,"₹24,999","₹60,990",4.2,"15,396 Ratings & 2,206 Reviews"
Thomson FA Series 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Dolby Digital Plus &...,"₹10,499","₹17,999",4.3,"1,08,418 Ratings & 21,875 Reviews"
SAMSUNG Crystal 4K iSmart Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with B...,"₹45,990","₹64,900",4.3,"14,965 Ratings & 1,502 Reviews"
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹24,999","₹35,999",4.3,"86,684 Ratings & 7,370 Reviews"
"Sansui 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision and Dolby Atmos, Black","₹37,499","₹59,990",4.2,352 Ratings & 56 Reviews
"SENS Dwinci 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV LumiSENS Panel, Dolby Vision and Dolby...","₹47,999","₹70,290",4.4,339 Ratings & 69 Reviews
,,,,
,,,,
"Acer Advanced I Series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with 1.5GB RAM, 16GB ...","₹11,999","₹20,999",4.3,"17,487 Ratings & 2,520 Reviews"
"Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV 2023 Edition with 2GB RAM,Dolby Audio,Bezel...","₹22,999","₹43,999",4.2,"2,947 Ratings & 485 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹6,899","₹16,999",3.9,"20,023 Ratings & 2,988 Reviews"
"SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with FluroSENS Panel, Dol...","₹30,999","₹56,790",4.2,"2,321 Ratings & 376 Reviews"
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition,"₹41,990","₹69,900",4.6,"9,771 Ratings & 1,963 Reviews"
SAMSUNG Crystal Vision 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with Voice Assis...,"₹47,990","₹72,900",4.4,"24,680 Ratings & 2,520 Reviews"
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with Dolby Vision & 30W D...,"₹34,999","₹44,999",4.3,"15,085 Ratings & 1,354 Reviews"
Acer Advanced I Series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition,"₹20,999","₹32,999",,
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with Bezel-less Design and Dolby...,"₹24,999","₹35,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,449","₹15,000",4.1,"1,905 Ratings & 235 Reviews"
Thomson 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision & Dolby Atmo...,"₹22,999","₹35,999",4.5,"33,535 Ratings & 8,390 Reviews"
CANDY 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Atmos & Dolby Vision,"₹18,999","₹35,990",4.4,152 Ratings & 44 Reviews
"Sansui 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision and Dolby Atmos, Black","₹37,499","₹59,990",4.2,352 Ratings & 56 Reviews
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition,"₹22,999","₹29,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
Vu GloLED 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with DJ Subwoofer 104W,"₹34,999","₹55,000",4.4,"12,131 Ratings & 2,154 Reviews"
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision and 30W ...,"₹39,999","₹54,999",4.3,"82,684 Ratings & 8,208 Reviews"
"LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition with Filmmaker Mode, AI Sound...","₹28,990","₹49,990",4.4,"16,903 Ratings & 1,931 Reviews"
Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,"₹30,999","₹54,999",4.5,"33,535 Ratings & 8,390 Reviews"
BeethoSOL 80 cm (32 inch) HD Ready LED TV,"₹6,999","₹17,000",4.2,"1,142 Ratings & 140 Reviews"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision and 30W ...,"₹28,999","₹42,999",4.3,"82,684 Ratings & 8,208 Reviews"
TOSHIBA C350MP 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision Atmos...,"₹30,999","₹54,999",4.3,"2,301 Ratings & 359 Reviews"
MarQ by Flipkart 80 cm (32 inch) HD Ready LED Smart Coolita TV,"₹8,098","₹21,000",4.2,59 Ratings & 11 Reviews
"SENS Dwinci 165 cm (65 inch) QLED Ultra HD (4K) Smart Google TV LumiSENS Panel, Dolby Vision and Dolby...","₹47,999","₹70,290",4.4,339 Ratings & 69 Reviews
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,650","₹12,999",3.9,"20,023 Ratings & 2,988 Reviews"
,,,,
,,,,
TOSHIBA 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with DTS X (2023 Model),"₹12,499","₹24,990",4.2,"3,204 Ratings & 442 Reviews"
"MOTOROLA Envision 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Bezel-Less Design, Google V...","₹29,999","₹54,999",4.3,"5,264 Ratings & 777 Reviews"
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2022 Edition with Voic...,"₹31,990","₹47,900",4.4,"24,680 Ratings & 2,520 Reviews"
TOSHIBA C350MP 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision Atmos...,"₹35,999","₹59,990",4.3,"2,301 Ratings & 359 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹7,950","₹21,999",3.9,"20,023 Ratings & 2,988 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹6,899","₹16,999",3.9,"20,023 Ratings & 2,988 Reviews"
Acer Advanced I Series 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Visi...,"₹32,999","₹59,999",4.3,"17,487 Ratings & 2,520 Reviews"
Acer Advanced I Series 109 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Visi...,"₹24,999","₹39,999",4.3,"17,487 Ratings & 2,520 Reviews"
"SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with FluroSENS Panel, Dol...","₹30,999","₹56,790",4.2,"2,321 Ratings & 376 Reviews"
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with Bezel-less Design and Dolby...,"₹24,999","₹35,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,149","₹19,000",4.1,"1,905 Ratings & 235 Reviews"
CANDY 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with With Dolby Atmos & Dolby Vi...,"₹24,999","₹39,990",4.4,152 Ratings & 44 Reviews
Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹25,999","₹42,999",4.3,"23,916 Ratings & 5,049 Reviews"
"Hisense 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with 102W JBL 6 Speakers, Dolb...","₹32,999","₹54,990",4.3,"2,561 Ratings & 381 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,449","₹15,000",4.1,"1,905 Ratings & 235 Reviews"
"Sansui 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision and Dolby Atmos, Black","₹37,499","₹59,990",4.2,352 Ratings & 56 Reviews
Sansui 127 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition,"₹27,990","₹51,990",,
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹42,999","₹59,999",4.4,"16,551 Ratings & 1,659 Reviews"
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition,"₹22,999","₹29,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision and 30W ...,"₹28,999","₹42,999",4.3,"82,684 Ratings & 8,208 Reviews"
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹11,999","₹21,999",4.3,"38,789 Ratings & 3,326 Reviews"
LG UQ7550 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2023 Edition,"₹32,490","₹47,990",4.5,37 Ratings & 2 Reviews
TOSHIBA M550LP Series 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Bass Woofer and REGZA E...,"₹42,999","₹79,990",4.3,"1,314 Ratings & 232 Reviews"
Hisense A6H 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with Hands Free Voice Cont...,"₹27,999","₹44,990",4.2,"2,161 Ratings & 307 Reviews"
,,,,
,,,,
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV 2023 Edition with Bezel-less Design and Dolby...,"₹24,999","₹35,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision and 30W ...,"₹28,999","₹42,999",4.3,"82,684 Ratings & 8,208 Reviews"
SONY 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition,"₹42,990","₹59,900",4.7,750 Ratings & 170 Reviews
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,399","₹18,499",4.4,"42,856 Ratings & 9,025 Reviews"
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV 2023 Edition,"₹22,999","₹29,999",4.4,"4,44,467 Ratings & 45,921 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹7,950","₹21,999",3.9,"20,023 Ratings & 2,988 Reviews"
"MOTOROLA Envision 109 cm (43 inch) Full HD LED Smart Android TV with Android 11, Bezel-Less Design and...","₹18,999","₹33,000",4.3,"5,264 Ratings & 777 Reviews"
Mi X Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Dolby Vision IQ and 30W ...,"₹32,999","₹49,999",4.3,"25,414 Ratings & 2,583 Reviews"
Vu GloLED 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition with DJ Subwoofer 84W,"₹29,999","₹40,000",4.4,"12,131 Ratings & 2,154 Reviews"
"Acer I Series 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with Android 11, 30W Do...","₹22,999","₹34,990",4.3,"17,487 Ratings & 2,520 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹6,899","₹16,999",3.9,"20,023 Ratings & 2,988 Reviews"
"SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV 2022 Edition with FluroSENS Panel, Dol...","₹30,999","₹56,790",4.2,"2,321 Ratings & 376 Reviews"
Sansui 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition,"₹12,490","₹21,490",4.2,225 Ratings & 20 Reviews
